support_program_id,support_program_name,service_category,lifecycle_phase,description,is_active
sp_0001,자기이해 워크숍,자기이해_및_심리상담,고립된_삶,집단활동 프로그램을 통한 자기 이미지 이해와 관리 등,True
sp_0002,마음건강바우처 등 심리·상담 지원 연계,자기이해_및_심리상담,고립된_삶,"1:1 심리상담, 집단상담, 방문상담, 온라인상담 등",True
sp_0003,정신건강의학과 등 심리치료 연계,자기이해_및_심리상담,고립된_삶,정신건강의학과와의 심리치료 연계 지원,True
sp_0004,치유적 관계 형성 프로그램,치유적_관계형성,회복,"3끼 식사, 신체활동, 예술활동, 놀이활동 등을 통한 관계 형성 프로그램",True
sp_0005,공동생활 참여,치유적_관계형성,회복,공동생활을 통한 사회적 관계 회복 지원,True
sp_0006,시간 및 일상생활 관리 프로그램,치유적_관계형성,회복,"수면 및 위생 관리, 정리정돈 등 일상생활 관리 역량 지원",True
sp_0007,사회기술 재학습 프로그램,치유적_관계형성,회복,기본적인 사회기술 재학습을 통한 사회 복귀 지원,True
sp_0008,청년도전지원사업 연계,일_경험_및_사회활동,회복,청년도전지원사업과의 연계를 통한 사회활동 지원,True
sp_0009,자기개발 및 진로탐색 프로그램,일_경험_및_사회활동,회복,자기개발과 진로탐색을 통한 취업 준비 지원,True
sp_0010,일 경험 프로그램 참여,일_경험_및_사회활동,회복,실제 일 경험을 통한 사회 이행 지원,True
sp_0011,고립·은둔청년 활동가 양성 및 활동,일_경험_및_사회활동,회복,고립·은둔청년을 대상으로 한 활동가 양성 및 활동 지원,True
sp_0012,지역 기반 사회적 관계 형성 프로그램,사후관리,통합된_삶,"독서모임, 미술모임, 가드닝모임, 요리모임 등 지역 기반 관계 형성 프로그램",True
sp_0013,자조모임 운영 및 참여,사후관리,통합된_삶,자조모임 운영 및 참여를 통한 지속적인 사회적 관계 유지,True
sp_0014,생계급여 및 긴급복지 연계,별도_지원,통합된_삶,경제적 곤란 시 생계급여 및 긴급복지 연계 등 생계비 및 주거 지원 (별도 지원 항목),True
sp_0015,가족상담,자기이해_및_심리상담,고립된_삶,성인심리건강서비스 등과 연계한 가족상담 지원,True
sp_0016,가족교육 및 자조모임,사후관리,통합된_삶,건강가정지원센터 등을 통한 가족교육 및 자조모임 참여,True
